name,created_at,closed_at,lifespan,pr_id,merged_at,merged
google/closure-compiler,2016-03-04 00:36:33 UTC,2016-03-04 18:49:13 UTC,1093,1614,,false
google/closure-compiler,2016-02-13 21:33:31 UTC,2016-02-29 19:47:21 UTC,22934,1541,,false
google/closure-compiler,2016-05-21 13:03:06 UTC,2016-09-21 23:40:14 UTC,177757,1808,,false
google/closure-compiler,2017-04-04 18:03:02 UTC,2017-06-09 16:01:40 UTC,94918,2403,,false
google/closure-compiler,2017-05-09 02:33:06 UTC,2017-06-05 16:54:58 UTC,39741,2485,,false
google/closure-compiler,2017-02-08 14:01:48 UTC,2017-02-08 18:26:16 UTC,265,2291,,false
google/closure-compiler,2017-10-30 12:05:16 UTC,2017-10-31 19:29:15 UTC,1884,2694,,false
google/closure-compiler,2017-03-09 01:38:22 UTC,2017-03-09 15:54:58 UTC,856,2363,,false
google/closure-compiler,2016-10-28 20:05:08 UTC,2017-02-09 00:48:09 UTC,148603,2114,,false
google/closure-compiler,2016-10-16 21:13:48 UTC,2017-02-08 17:39:29 UTC,165386,2088,,false
google/closure-compiler,2017-11-28 02:54:09 UTC,2017-12-04 19:36:18 UTC,9642,2729,,false
google/closure-compiler,2017-04-17 10:28:58 UTC,2017-04-21 02:33:27 UTC,5285,2443,,false
google/closure-compiler,2017-02-07 13:43:23 UTC,2017-03-02 18:29:36 UTC,33406,2287,,false
google/closure-compiler,2017-08-17 03:48:20 UTC,2017-08-18 22:03:40 UTC,2535,2620,,false
google/closure-compiler,2017-02-22 12:53:54 UTC,2017-02-27 21:31:20 UTC,7718,2332,,false
google/closure-compiler,2016-12-15 09:39:56 UTC,2017-01-06 20:14:06 UTC,32315,2201,,false
google/closure-compiler,2017-02-03 11:51:11 UTC,2017-02-08 08:05:28 UTC,6974,2273,,false
google/closure-compiler,2016-08-22 13:17:36 UTC,2016-08-30 23:33:12 UTC,12136,1971,,false
google/closure-compiler,2016-02-18 23:35:24 UTC,2016-03-14 23:52:59 UTC,36017,1564,,false
google/closure-compiler,2016-01-13 12:55:18 UTC,2016-01-13 13:55:29 UTC,60,1390,,false
google/closure-compiler,2016-03-11 16:02:06 UTC,2016-03-12 10:56:08 UTC,1134,1639,,false
google/closure-compiler,2016-04-22 21:51:05 UTC,2016-05-26 21:44:01 UTC,48953,1754,,false
google/closure-compiler,2016-02-19 20:11:31 UTC,2016-02-19 23:00:04 UTC,169,1573,,false
google/closure-compiler,2016-04-22 19:04:36 UTC,2016-04-26 00:09:03 UTC,4625,1753,,false
google/closure-compiler,2016-05-27 01:37:25 UTC,2016-05-27 18:42:15 UTC,1025,1820,,false
google/closure-compiler,2016-01-09 00:09:49 UTC,2016-09-20 00:33:32 UTC,367224,1378,,false
google/closure-compiler,2016-04-08 18:06:37 UTC,2016-04-08 20:14:08 UTC,128,1717,,false
google/closure-compiler,2016-03-13 07:36:42 UTC,2016-03-30 17:27:59 UTC,25071,1649,,false
google/closure-compiler,2016-08-29 13:02:04 UTC,2016-09-20 00:32:53 UTC,30930,1986,,false
google/closure-compiler,2016-04-26 01:46:01 UTC,2016-05-03 17:45:11 UTC,11039,1760,,false
google/closure-compiler,2016-02-14 00:08:13 UTC,2016-02-16 18:34:38 UTC,3986,1544,,false
google/closure-compiler,2016-10-15 20:04:37 UTC,2016-10-17 18:15:29 UTC,2771,2086,,false
google/closure-compiler,2016-03-12 04:10:04 UTC,2016-03-15 05:27:24 UTC,4397,1645,,false
