name,repo_name,login,contributions
evrencoskun/TableView,evrencoskun/TableView,evrencoskun,39
JanusGraph/janusgraph,JanusGraph/janusgraph,robertdale,39
eclipse/che,eclipse/che,svor,38
languagetool-org/languagetool,languagetool-org/languagetool,danielnaber,38
elastic/elasticsearch,elastic/elasticsearch,mayya-sharipova,38
apache/flink,apache/flink,aljoscha,38
prestodb/presto,prestodb/presto,rschlussel2,38
deeplearning4j/deeplearning4j,deeplearning4j/deeplearning4j,maxpumperla,38
apache/beam,apache/beam,pawel-kaczmarczyk,38
bumptech/glide,bumptech/glide,stale[bot],38
gocd/gocd,gocd/gocd,arvindsv,38
apache/beam,apache/beam,mariapython,38
objectbox/objectbox-java,objectbox/objectbox-java,greenrobot,38
eclipse/che,eclipse/che,akorneta,37
querydsl/querydsl,querydsl/querydsl,timowest,37
apache/storm,apache/storm,asfgit,37
apache/beam,apache/beam,wcn3,37
square/retrofit,square/retrofit,JakeWharton,37
Alluxio/alluxio,Alluxio/alluxio,uronce-cc,37
yanzhenjie/AndPermission,yanzhenjie/AndPermission,yanzhenjie,37
bazelbuild/bazel,bazelbuild/bazel,buchgr,37
Alluxio/alluxio,Alluxio/alluxio,gpang,37
JessYanCoding/MVPArms,JessYanCoding/MVPArms,JessYanCoding,37
apache/kafka,apache/kafka,kkonstantine,37
rstudio/rstudio,rstudio/rstudio,ronblum,37
siacs/Conversations,siacs/Conversations,licaon-kter,36
apache/kafka,apache/kafka,vahidhashemian,36
SonarSource/sonarqube,SonarSource/sonarqube,gregaubert,36
prestodb/presto,prestodb/presto,yingsu00,36
gephi/gephi,gephi/gephi,eduramiba,36
google/ExoPlayer,google/ExoPlayer,AquilesCanta,36
aws/aws-sdk-java,aws/aws-sdk-java,shorea,36
vespa-engine/vespa,vespa-engine/vespa,geirst,36
openhab/openhab1-addons,openhab/openhab1-addons,bgilmer77,36
hazelcast/hazelcast,hazelcast/hazelcast,tkountis,36
pmd/pmd,pmd/pmd,gibarsin,36
googlesamples/easypermissions,googlesamples/easypermissions,samtstern,35
ACRA/acra,ACRA/acra,F43nd1r,35
objectbox/objectbox-java,objectbox/objectbox-java,greenrobot-team,35
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,codecov-io,35
google/ExoPlayer,google/ExoPlayer,tonihei,35
eclipse/che,eclipse/che,vinokurig,35
apache/storm,apache/storm,srdo,35
eclipse/che,eclipse/che,vitaliy-guliy,35
swagger-api/swagger-core,swagger-api/swagger-core,frantuma,35
AriaLyy/Aria,AriaLyy/Aria,AriaLyy,34
mockito/mockito,mockito/mockito,mockitoguy,34
OpenRefine/OpenRefine,OpenRefine/OpenRefine,codacy-bot,34
facebook/fresco,facebook/fresco,facebook-github-bot,34
h2oai/h2o-3,h2oai/h2o-3,angela0xdata,34
tomakehurst/wiremock,tomakehurst/wiremock,tomakehurst,34
apache/kafka,apache/kafka,ConcurrencyPractitioner,34
deeplearning4j/deeplearning4j,deeplearning4j/deeplearning4j,saudet,34
netty/netty,netty/netty,johnou,34
AsyncHttpClient/async-http-client,AsyncHttpClient/async-http-client,unoexperto,34
spring-projects/spring-boot,spring-projects/spring-boot,bclozel,34
Bigkoo/Android-PickerView,Bigkoo/Android-PickerView,xiaosong520,34
Activiti/Activiti,Activiti/Activiti,codacy-bot,34
